Text,Sentimen
andri_just Selamat sore Mohon maaf atas ketidaknyamanannya untuk eskalator di peron 6 7 Stasiun Manggarai yg terkendala saat ini masih dalam upaya perbaikan oleh bagian terkait kami berharap fasilitas yang terkendala dapat berfungsi normal kembali tks,Negatif
erickthohir KemenBUMN CommuterLine kemenhub151 BudiKaryaS koq klo saya yang naik empet2an  dah gitu ditahan ditiap stasiun dah pernah nyobain turun di Manggarai belum  jam berangkan sama jam pulang kantor mantab tuh,Negatif
Stasiun Manggarai rencananya akan menjadi stasiun sentral di Jakarta Namun sangat disayangkan stasiun ini ternyata belum memiliki tempat parkir mobil,Negatif
detikcom Stasiun Manggarai akan jadi pusat pergerakkan kereta di Jakarta itu Meski begitu fasilitas ruang tunggu terbilang masih min…,Negatif
detikcom Stasiun Manggarai akan jadi pusat pergerakkan kereta di Jakarta itu Meski begitu fasilitas ruang tunggu terbilang masih min…,Negatif
detikcom Stasiun Manggarai akan jadi pusat pergerakkan kereta di Jakarta itu Meski begitu fasilitas ruang tunggu terbilang masih min…,Negatif
Suasana menuju Stasiun Manggarai di pagi hari ini pukul 0800 Jumat 17/06/2022 terpantau macet,Negatif
Suasana menuju Stasiun Manggarai di pagi hari ini pukul 0800 Jumat 17/06/2022 terpantau macet,Negatif
CommuterLine ini kenapa keretanya berhenti lama terus semenjak jalur manggarai diubah min ini udh 37menit aja dijalan berhenti tiap stasiun bs 5menit lebih tolong diatur buat wktu berhenti disetiap stasiun jadi 2 menit sekali nomer KA nya berikut K1 1 85 81,Negatif
CommuterLine kemenhub151 BTPJAKBAN Akhirnya bisa kekantor gausah naik ojol lg dr stasiun  walaupun agar repot hrs transit dulu di manggarai,Negatif
detikcom Stasiun Manggarai rencananya akan menjadi stasiun sentral di Jakarta Namun sangat disayangkan stasiun ini ternyata belum me…,Negatif
ak di stasiun manggarai aja bisa salah naik kereta apalagi naik subway NYC ya,Negatif
mainiszz Kami mohon maaf kak atas ketidaknyamanannya perihal jarak peron dengan KA di Stasiun Manggarai tersebut sudah menjadi catatan perbaikan untuk saat ini demi keselamatan silakan dapat bergeser ke rangkaian kereta saat naik/turun KRL ya tks,Negatif
Masih bingung kenapa ada Stasiun Matraman yang jaraknya dengan Manggarai dan Jatinegara tuh gak jauhjauh banget,Negatif
aku notice bgt terutama dikemarin karena kemarin pagi pas di stasiun manggarai bener2 berkabut bgt ngeliat gedung2 tingginya dan ternyata sampai hari ini juga masih huhu get well soon jakartaa,Negatif
saturnomeus HAHA gw sbg pendatang di jkt pas cobain krl manggarai dan tanah abang krn ini stasiunnya stasiun transit wuiss culture shock beratttt dengan keramaiann awalnya si nd terlalu krn pas aturan ppkm berlaku,Negatif
Stasiun Manggarai akan jadi pusat pergerakkan kereta di Jakarta itu Meski begitu fasilitas ruang tunggu terbilang masih minim,Negatif
Stasiun Manggarai akan jadi pusat pergerakkan kereta di Jakarta itu Meski begitu fasilitas ruang tunggu terbilang masih minim,Negatif
Paling deket kesitu naik krl turun di Sudirman huhu skrg rempong mesti transit Manggarai dulu pdhl cm 1 stasiun,Negatif
Askrlfess lesehan di stasiun Manggarai karena diri ini sudah jompo dn nunggu dpet kereta yg ga padet bgt ada kli 1 jam duduk doang wkwkwk pdhal kereta lewat trs,Negatif
CommuterLine mau ngasih pendapat aja kenapa kereta Bekasi jarak datangnya di stasiun Manggarai jedanya lama yaa  Bukankah itu menjadi krg efisen ya Jika mau transit di kota jaraknya jauh Mohon lebih diperhatikan lagi yaaa,Negatif
detikcom Eskalator di Stasiun Manggarai Jakarta Selatan mengalami tiga kali kematian Kenapa eskalator di stasiun yang strategis ini…,Negatif
Udah gila ini dari Kelapa Gading mau ke Kuningan ternyata sekarang jalannya diputerin kudu lewat depan stasiun Manggarai yang mana jadi tambah bikin macet cet cet,Negatif
Antara naik tangga pindah peron di Stasiun Manggarai dan naik tangga keluar M pintu F Bundaran HI depan Sinarmas Tower di sanalah pretest kebugaran tubuh diuji TrueStory,Negatif
Areloghy Beneran loh kak Hari ini baru di buka stasiun nya td ketahan lama disit bilangnya pergantian masuk stasiun manggarai  pas jalan udah gak ketahan di tengah2 lagi,Negatif
CommuterLine kereta arah Bogor di stasiun Manggarai ada pkl 2107 trus sampe sekarang pkl 2126 BELUM ADA YANG LEWAT lagi tuh maksudnya apa ya Dikira orangorang punya waktu cuma buat nunggu doang kali ya Gimana sih ini realita di lapangan ga sesuai banget sama jadwal,Negatif
cuma berani sekali puteran doang karena besok harus jadi tangga stasiun Manggarai+ stasiun M fighter lagi takut betis ketarik lagi,Negatif
Dr stasiun bogor ke manggarai terus balik lg ke bogor biar abang azka tau rasanya naik kereta gmn  bolakbalik gt rasanya ko gempor bgt  emang dsr badan jompo,Negatif
DukuhAtasBNI PetraisMe codernubie saturnomeus kalo soal ini setuju harusnya kawasan stasiun manggarai udah mulai dibenahi besar2an…,Negatif
Edogwa_Raein krn mrt rutenya terbatas jadi lebih sering pake krl tapi experience wise aku suka mrt mungkin efek rute terbatas = penumpang lebih dikit jg dibanding krl yg kl udah ketemu di duri/tanah abang/manggarai tuh  tapi stasiun sm keretanya jg lebih nyaman mrt sih,Negatif
hariii____ rezakurni2 annepurba CurhatKRL Selamat siang Kami mohon maaf atas ketidaknyamanannya yang dialami saat menggunakan KRL pasca pelaksanaan SO 5 di Stasiun Manggarai Kami memahami atas kondisi yang di alami |1,Negatif
Haus tapi minimarket stasiun manggarai dibawah semua ya,Negatif
Kacape cape pa itu kursi kosong di tukang  coba da cangkeul Cobaan pa ti stasiun daru line rangkasbitung berdiri nepi ka Manggarai can di Manggarai teh war Acan war di tanah Abang ahhhhhhh cape pa demi Allah tah keret ceuli,Negatif
Kalo sampe 3x harusnya dapat hadiah gelas,Negatif
sdM_Marauders Tolong dong PT KAI CommuterLine beritahu para petugas2 bawahannya seperti satpam2 yang bawa toa di stasiun manggarai…,Negatif
Secara kebetulan di Jabodetabek ada maling spesialis bagasi di Stasiun Manggarai yang memungkinkan tas raib jika diawasi Salah satu admin pernah menjadi korban,Negatif
Kondisi stasiun kereta di Jepang saat ini saat rush hour tidak bedanya dg stasiun Manggarai hampir semua pengguna kereta menaiki tangga Semoga bisa jadi contoh untuk orang Jabodetabek untuk ber commuter ria,Negatif
tdi pagi mimpi ada anak kecil dah kecanduan obat dkt stasiun manggarai apa ini akibat nonton elite yg tiap episode ada narko  sagapung,Negatif
Urai Penumpukan Penumpang di Manggarai KAI Commuter Uji Coba Stasiun Matraman,Negatif
yang ke arah manggarai dari tambak yang sabar atau dari stasiun manggarai menuju pasar rumput/dr saharjo muacet banget dari jam 7 sore tadi gw lewat barusan lewat lagi tetap macet parah ada yang amblas di underpass pintu air manggarai,Negatif
Stasiun matraman dibuka cuman biar kalo nunggu masuk manggarai ngga di tengah jalan aja kalo kata gue mah,Negatif
iniakunoranggg elisa_jkt 2 tahun pandemi serta 4 tahun di awal kepemimpinan Gub skrg sbnrnya udah bisa banget buat kelarin pembanguna…,Negatif
jalur5_ Terjadi kepadatan penumpang hari ini 17/6 di Stasiun Manggarai Jakarta Selatan lantai atas sekitar jam 1630 WIB Hal ini…,Negatif
Baru lagi naik KRL setelah hampir 2 tahun ga pernah naik Bangga banget stasiun sekarang udah bagusbagus banget apalagi stasiun Manggarai,Positif
Gils bagus bener ni stasiun manggarai,Positif
makan ngemper ramean di stasiun manggarai seruuu bgt asli,Positif
Menggantikan Stasiun Gambir Stasiun Manggarai sdh dilengkapi dgn guiding block lift dan penjualan tiket otomatis,Positif
Sekarang stasiun manggarai udah keren banget udah terbantu juga sama eskalator2 yg udah berfungsi dengan baik Toilet dan musholla juga luas Cuma memang perlu pembiasaan lagi sama jalur2 barunya intinya kalau lagi sepi bagus sih,Positif
tempodotco Usai Penataan Stasiun Manggarai Menhub Budi Karya Seperti di Jepang TempoVideo,Positif
Terima kasih Pak mas_didiek stasiunnya keren banget,Positif
detikcom Stasiun Manggarai rencananya akan menjadi stasiun sentral di Jakarta Namun sangat disayangkan stasiun ini ternyata belum me…,Positif
Sekilas mirip dengan Stasiun Hyogo Eki yg ada di Jepang,Positif
andri_just Tersedia fasilitas lift di peron 6/7 Stasiun Manggarai bagi pengguna prioritas sebagai alternatif dapat menggunakan fasilitas lift yang tersedia Untuk informasinya silakan menemui petugas Stasiun tks,Positif
Akhirnya w nemuin kedai susu segar yg rasanya pas ga kemanisan dan ga bikin enek Varian rasanya jg banyak banget serta banyak makanan pendukung lain nya Lokasi nya strategis banget di deket SMPN 3 JakSel dan dekat juga dgn Stasiun Manggarai drhaltekehalte,Positif
AntiAntre di Manggarai Selamat Datang di Stasiun Mantraman,Positif
detikfinance Pemerintah berencana untuk menjadikan Stasiun Manggarai sebagai stasiun sentral di Jakarta,Positif
Keberadaan Stasiun Matraman diyakini bisa mengurai penumpukkan orang di stasiun transit seperti Stasiun Manggarai dan Stasiun Jatinegara,Positif
ramsxmd convomfs Berarti ini stasiun matraman tuh bisa jadi nuat ngebantu manggarai yg lagi pembangunan ya Ini abis manggarai kan stasiunnya,Positif
PeningkatanLayananKRL,Positif
Pemerintah berencana untuk menjadikan Stasiun Manggarai sebagai stasiun sentral di Jakarta,Positif
ceuuuuuuu Selamat malam Kak tersedia Lift di Stasiun Manggarai yang dapat digunakan untuk berpindah lantai/peron bagi Ibu Hamil Lansia Penyandang disabilitas dan Ibu membawa anak kami juga mengimbau apabila membutuhkan bantuan petugas silakan dpt menemui petugas ya Kak tks,Positif
Tujuan dioperasikannya Stasiun Matraman yakni menghindari penumpukan pengguna KRL di Stasiun Manggarai sebagai stasiun transit,Positif
Ada Stasiun Matraman Menhub 20 Ribu Penumpang Tak Perlu ke Manggarai,Positif
CommuterLine Stasiun yang terletak diantara Stasiun Manggarai dan Jatinegara ini memiliki fasilitas tangga manual ruang lost and foun…,Positif
detikcom Pemerintah berencana untuk menjadikan Stasiun Manggarai sebagai stasiun sentral di Jakarta Ini 3 PR besar yang harus dibenah…,Positif
infoWisata 5 Fakta Stasiun Gambir Bakal Pensiun Layani KA Jarak Jauh Dialihkan ke Manggarai,Positif
kompascom Tujuan dioperasikannya Stasiun Matraman yakni menghindari penumpukan pengguna KRL di Stasiun Manggarai sebagai stasiun trans…,Positif
Ni stasiun punya view yang 11 12 ama manggarai lantai atas,Positif
Eh bapak menteri BUMN juga lagi ngurusin krl,Positif
sagibitchs siskakolh Jatinegara/Manggarai kayaknya Sekarang stasiun banyak yang direvitalise,Positif
Stasiun Matraman Diharapkan Kurangi Beban di Manggarai,Positif
tiaraaauty Sore kak Rara kami infokan untuk saat ini 3Digibox stasiun Manggarai sudah online kembali dan untuk 3Digibox PGC ada di Lantai daras Pintu Masuk Mall depan Outlet Super Roti ya  Semoga membantu^Ria,Positif
Today bareng _hilmiar diajak langsung sama pak mas_didiek ikut peresmian Stasiun Matraman di Lintas antara ManggaraiJatinegara Stasiunnya keren semoga next bisa integrasi dengan moda lain seperti Transjakarta Khususnya dengan Halte Kebon Pala,Positif
Deny pun meminta PT KCI memperbanyak tangga  tangga atau jalur keluar  masuk penumpang di setiap stasiun stasiun transit untuk mengurangi kepadatan penumpang,Positif
jalur5_ Berikut pantauan progres pembangunan Stasiun Manggarai lantai atas calon 6 jalur untuk peron KA Jarak Jauh hari ini 18/6…,Positif
caratstalk Naik ka Bandara aja nder turun di stasiun manggarai setauku cuma 30k Nanti dari stasiun manggarai nyambung krl transit tanah abang terus lanjutin krl ke stasiun cisauk Terus gojek deh deket dari situ,Positif
d1nding Naik dari tanah abang gausah transit lg di manggarai langsung stasiun matraman turunnya,Positif
Guys jangan lupa setelah Stasiun Jatinegara sekarang ada Stasiun Matraman Tadi banyak yang salah turun dikirain udah sampe Stasiun Manggarai,Positif
Pemerintah berencana untuk menjadikan Stasiun Manggarai sebagai stasiun sentral di Jakarta Ini 3 PR besar yang harus dibenahi,Positif
Pemerintah berencana untuk menjadikan Stasiun Manggarai sebagai stasiun sentral di Jakarta Ini 3 PR besar yang harus dibenahi,Positif
Penyesuaian pola operasional KRL hari Sabtu 28 Mei 2022 resmi dijalankan untuk mendukung pelaksanaan switch over yang ke 5 di Stasiun Manggarai,Positif
Penyesuaian pola operasional KRL hari Sabtu 28 Mei 2022 resmi dijalankan untuk mendukung pelaksanaan switch over yang ke 5 di Stasiun Manggarai,Positif
Jadi anak kereta lagi alhamdulillah stasiun matraman sudah beroperasi ga perlu naik ojek via manggarai naik busway via tebet atau naik angkot via jatinrgara lagi,Positif
nadila_lol Selamat siang Kami informasikan untuk musala bawah Stasiun Manggarai tersedia karpet namun untuk saran fasilitas karpet di musala atas menjadi masukan kami untuk perbaikan pelayanan serta kenyamanan pengguna jasa Tks,Positif
1956 Dan kami harus berpisah di stasiun Manggarai,Positif
4B Stasiun Manggarai  UI,Positif
6H Senen  Lebak Bulus,Positif
Ada yang udah pernah berkunjung,Positif
adesulaeman_86 Selamat sore Kami informasikan untuk KA 4512 Jakarta KotaNambo jadwal berangkat dari Stasiun Manggarai tepat pkl 1504 WIB ya kak Tks,Positif
affluenjee convomfs Antara stasiun Manggarai  Jatinegara,Positif
akuhanyaaku24 Silakan transit terlebih dahulu di Stasiun Tanah Abang Kemudian gunakan KRL tujuan Bekasi/Cikarang untuk transit kembali di Stasiun Manggarai dan berganti KRL tujuan Depok/Bogor tks |2,Positif
Aldinifirsta2 Selamat pagi Kak Untuk TambunJakarta Kota silakan dapat transit di Stasiun Manggarai dan berganti rangkaian menggunakan ManggaraiJakarta di peron 10/11 Stasiun Manggarai |1,Negatif
amandaptrm drhaltekehalte deket halte busway kebon pala ka posisinya setelah stasiun jatinegara sebelum stasiun manggarai,Positif
Aryprasetyo85 erickthohir Dongko_Bahrul NabilaAr__ FirzaHusainID DS_yantie Dputrisolo 03__nakula AntoniusCDN HermanPrayitn16 kpd yth sdr menteri bumn tolong dicek siapa yg usul eskalator merk abal2 di stasiun manggarai sdh berkalikali rusak dan waktu perbaikannya sangat lama malu pak sama negara jiran di stasiun L KLCC mereka pakai merk MITSUBISHI,Negatif
asr0371 Malam kak Stasiun terdekat adalah St Manggarai Pada hari libur silakan dari Halte manggarai naik ke arah Tosari turun di halte Halimun transit ke arah Ragunan turun di Halte Setiabudi Utara Aini Terima kasih ^RSN,Positif
Ayok pak ke stasiun Manggarai,Positif
bellebelss Selamat sore Untuk tujuan Tanah Abang saat ini tersedia KA D1/5543A di Stasiun Manggarai tks,Positif
Beroperasi pukul 0500  2200 WIB setiap hari,Positif
bogorfess_ stasiun manggarai gondangdia gambir,Positif
bogorfess_ Stasiun Manggarai rest area cibubur,Positif
cikarangjatimanggaraidurisenenjaticikarang,Positif
cikarangjatinegaraps senendurimanggaraicikarang,Negatif
cobainnya jam 4 sore dari stasiun sudirman ke bogor pak pake transit di stasiun manggarai,Negatif
collegemenfess dari tangerang turun stasiun duri nderr abis itu transit di duri naik kereta arah manggarai aku lupa naik kereta ke bekasi atau apa pokoknya turun manggarai abis itu transit di manggarai trus naik kereta ke arah bogor turun stasiun ui atau pondok cina,Negatif
CommuterLine ankgieAnkgrian Rute Rawa BuntuJakarta Kota silakan transit di stasiun tanah abang dan stasiun manggarai tks,Negatif
CommuterLine apalagi sih ini di cawang berenti lama mau masuk tebet berenti dulu Mau masuk manggarai berenti lagi Bisa nggak sih ngatur jadwal Buat setiap krl tuh berentinya 2 menit aja maksimal di stasiun Jadi gak ada antrian,Negatif
CommuterLine dhitadhitooo Dari Rawa buntu menuju Jakarta kota transit di Stasiun Tanah abang dan Manggarai selanjutnya menuju Jakarta…,Negatif
CommuterLine ferrysuu Selamat malam rute Rawa BuntuJakarta Kota silakan naik KRL tujuan Tanah Abang lalu transit di Stasiun Tanah A…,Positif
CommuterLine Min Jadwal dari bogor ke manggarai terakhir yang tiba di stasiun citayam malam ini jam brp ya,Negatif
CommuterLine min kenapa bikin stasiun matraman apa ngga kedeketan itu jaraknya sama stmanggarai dan stjatinegara,Negatif
CommuterLine min mau tanya kalau dari stasiun angke ke stasiun rajawali bisa langsung ga jadi angke  kpbandan  rajawali atau hrs lewatin manggarai / jatinegara dulu,Positif
CommuterLine Min parkir yang bisa menggunakan kartu KMT selain di stasiun Pasar Senen kirakira mana aja ya Soalnya pas di stasiun Manggarai kebetulan hanya bisa tunai Makasih,Negatif
CommuterLine No KA ga tau min CommuterLine  ini relasi Bekasi Manggarai Kereta No 2 Posisi kereta saat ini di stasiun Kemayoran,Negatif
CommuterLine stasiun manggarai,Positif
darkhustle__ capekk convomf Ada KRL kak biasanya dari stasiun senen kamu naik yg arah ke manggarai nanti kamu turun ditanah abang abis itu pindah peron buat ke arah rawa buntu atau ciasauk nanti dari sana bisa naik ojol soalnya ga ada angkot,Negatif
detikcom Manggarai jadi stasiun sentral gimana Damri Antar Moda coba Yg DAMRI Lampung Jakarta,Negatif
detikcom Mobilmobil tersebut terparkir tepat di bawah rambu dilarang parkir yang tertulis peringatan denda penderekan Rp 500000/har…,Negatif
detikcom Mobilmobil tersebut terparkir tepat di bawah rambu dilarang parkir yang tertulis peringatan denda penderekan Rp 500000/har…,Negatif
dhevant178 Selamat pagi Kak Dapat kami informasikan untuk akses lokasi Stasiun terdekat dengan Cempaka Putih adalah Stasiun Kramat untuk menuju Stasiun Bogor silakan dapat menggukan KRL KramatManggarai lalu transit berganti rangkaian menggunakan ManggaraiBogor tks,Negatif
dillahfara Selamat sore Kak Untuk rute Sawah BesarBekasi tidak tersedia perjalanan langsung silakan transit di Stasiun Manggarai terlebih dahulu untuk dapat berpindah KRL tujuan Bekasi/Cikarang tks,Positif
dmrsje Kalo aku dari stasiun Bogor ke stasiun Manggarai 5k nah dari situ jalan ke halte manggarai terus naek tj turun di UNJ 35K,Negatif
dpaidan Lu ke stasiun apa nad Manggarai bukan,Positif
Eh ini kalo naik kereta dari stasiun Cikarang ke stasiun Juanda transitnya dimana Di Manggarai atau Jatinegara,Negatif
erickthohir KemenBUMN CommuterLine kemenhub151 BudiKaryaS Coba berangkatnya pagi sekitar jam 78 via stasiun manggarai pak,Negatif
erickthohir KemenBUMN CommuterLine kemenhub151 BudiKaryaS Coba dadakan pa sore hari jam pulang kantor kunjungi stasiun manggarai,Negatif
erickthohir KemenBUMN CommuterLine kemenhub151 BudiKaryaS Pak nitip jalur CL kebalikan dr jkt ke bekasi depok blm dpt perhatian Sdh 15 th lbh blm berubah tdk mendukung mrk yg kerja di bekasi cikarang atau depok Jadwal manggarai ke bks or dpk kl pagi tdk pernah tepat Kl dr sudirman k manggarai bs tertahan 20 min sblm msk stasiun,Negatif
espe11s Selamat pagi Kami informasikan untuk perjalanan KRL rute BogorRajawali saat ini silakan transit di Stasiun Manggarai terlebih dahulu ya Kak kemudian silakan berpindah ke KRL Full Racket tujuan Kampung BandanJatinegaraBekasiCikarang  turun di Stasiun Rajawali Terima kasih,Positif
faelyn1R Selamat malam kak silakan transit di Stasiun Manggarai dan Duri ya Informasi jadwal krl silahkan dapat unduh KRL Access di app/play store atau dilihat di tks,Negatif
fallforminho_ Selamat pagi Kak Dapat kami sampaikan untuk tujuan Bekasi/Cikarang silakan naik KRL di peron jalur 8 Stasiun Manggarai ya Kami imbau untuk tetap memperhatikan informasi dan arahan dari petugas di stasiun Terima kasih,Negatif
forhobies Selamat siang Silakan naik KRL dengan tujuan akhir Bekasi/Cikarang via Manggarai ya kak agar dapat turun di Stasiun Duri Tks,Negatif
fxmario Sekali kali coba wisata ke kebun raya bogor pak naik KRL biar ngerasain stasiun manggarai,Negatif
Ga semua bisa langsung di capai Gapapa nanti silahkan transit di stasiun Manggarai dulu ya,Positif
galihsugiarto Selamat pagi kami informasikan saat ini perjalanan KRL di lintas BogorJakarta Kota terpantau adanya pergantian jalur masuk Stasiun Manggarai Kami mohon maaf atas ketidaknyamanannya Tks,Negatif
Hallo ka mau tanya kalau dari halte stasiun manggarai ke central park naik busway apa saja ya PT_Transjakarta,Positif
Halo PT_Transjakarta dari harmoni ke stasiun Manggarai apakah ada rutenya,Negatif
hcpopstar Selamat sore Stasiun terdekat dengan Kota Kasablanka tersedia Stasiun Tebet dengan jarak ± 28 KM silakan naik KRL BekasiManggarai terlebih dahulu kemudian transit berpindah KRL ManggaraiTebet ya kak Tks,Positif
HelloKimJD talgibbh 3 Naik kereta Bogor  JaKot transit di Manggarai ambil arah Cikarang turun di st Jatinegara keluar stasiun terus lanjut naik Transjakarta ke halte Jatinegara nanti tunggu bis nya yg kearah priuk tapi bukan bis ke priuk nanti ada TJ khusus ke prj PGC  PRJ tulisan nya,Negatif
HelloKimJD tenkickback turun manggarai dri manggarai naik arah senen trus turun di stasiun kemayoran abis tuh naik ojol deh ke prj,Negatif
hernisaresi Selamat pagi Kak Kami informasikan tersedia KRL dengan nomor KA 2033 TigaraksaTanah Abang yang selanjutnya menjadi KA 2034A Tanah AbangManggarai jadwal keberangkatan KRL tersebut dari Stasiun Parung Panjang pukul 0910 WIB Terima kasih,Positif
hidayyatt Selamat pagi rute BuaranDuren Kalibata silakan dapat transit dahulu di Stasiun Manggarai keberangkatan pertama rute BuaranManggarai pkl 0500 WIB Tks,Negatif
ijustbornatdawn Selamat siang rute BogorPasar Senen silakan naik KRL tujuan Jakarta Kota terlebih dahulu kemudian transit di Stasiun Manggarai utk berpindah kereta tujuan Bekasi/Cikarang lalu transit kembali di Sta Jatinegara utk berpindah kereta tujuan Kampung Bandan via Pasar Senen Tks,Positif
ikafitriza Selamat siang rute BogorPalmerah silakan naik KRL tujuan Jakarta Kota terlebih dahulu kemudian transit di Stasiun Manggarai utk berpindah kereta tujuan Angke/Kampung Bandan lalu transit kembali di Stasiun Tanah Abang |1,Positif
justreadwrite Selamat siang silakan kakak dapat menunggu KRL tujuan Stasiun Tanah AbangAngke/Kampung Bandan di peron 6/7 Stasiun Manggarai Terima kasih,Positif
KA 2176 Tanah AbangParung Panjang terakhir menunggu transit penumpang KA 5075 CikarangManggaraiAngke dan KA 6094 Kampung BandanManggarai di Stasiun Tanah Abang |2,Positif
KA 2176 Tanah AbangParung Panjang terakhir menunggu transit penumpang KA 5075 CikarangManggaraiAngke dan KA 6094 Kampung BandanManggarai di Stasiun Tanah Abang |2,Positif
